split,score_grade,rows,bad_count,bad_rate,bad_capture,avg_pd,min_score,max_score
development,G01,19093,9341,0.48923689310218405,0.6271231957032561,0.33066815299298824,239.21170071745408,487.75068018965374
development,G02,17348,2587,0.1491238183075859,0.1736824437730782,0.14869754712176123,487.7555964070867,529.7917134616804
development,G03,18161,1353,0.07450030284675954,0.09083585095669688,0.0964869696195393,529.7972871816261,560.2827193931446
development,G04,17799,687,0.03859767402663071,0.04612286002014099,0.0681480450664963,560.2847232444565,584.7521134660271
development,G05,18239,429,0.023521026372059873,0.028801611278952668,0.050480619722197397,584.75365306656,606.6570330107686
development,G06,18612,261,0.01402321083172147,0.017522658610271902,0.03807839424292889,606.6578481897711,627.3264742593368
development,G07,19069,135,0.007079553201531281,0.00906344410876133,0.02880472834115003,627.3268303513829,648.5064625251262
development,G08,18805,64,0.003403350172826376,0.004296743873783149,0.021526230760623866,648.5106258805178,671.0475297887389
development,G09,18727,30,0.0016019650771613178,0.002014098690835851,0.015358925626651506,671.0476616548767,699.7266041286103
development,G10,18654,8,0.0004288624423716093,0.0005370929842228936,0.008874513073537229,699.7348662909676,859.4903249399662
final_holdout,G01,6185,1901,0.30735650767987066,0.38288016112789525,0.31170333992872673,219.51353958040954,487.7470148661848
final_holdout,G02,6146,984,0.16010413276928084,0.19818731117824773,0.14822370558521933,487.75734790071067,529.7852587007435
final_holdout,G03,6142,650,0.10582872028655162,0.1309164149043303,0.09638441688259383,529.7970029755401,560.2815417817969
final_holdout,G04,5919,426,0.07197161682716675,0.08580060422960725,0.06822337295190506,560.2857331327045,584.7508946904767
final_holdout,G05,6153,342,0.05558264261335934,0.0688821752265861,0.05034045499634839,584.7533761622989,606.6525945971969
final_holdout,G06,6092,236,0.038739330269205514,0.047532729103726086,0.03808769309500865,606.6590026799033,627.325178380074
final_holdout,G07,6326,154,0.024343977236800506,0.031017119838872106,0.02877331296057754,627.3335352558462,648.5075442849645
final_holdout,G08,6215,141,0.02268704746580853,0.0283987915407855,0.02151945958548137,648.5154010082698,671.0453873613253
final_holdout,G09,6105,90,0.014742014742014743,0.01812688821752266,0.015387307616417652,671.0523830790221,699.7246678492932
final_holdout,G10,6219,41,0.006592699790963177,0.00825780463242699,0.00888820001816883,699.733735854608,845.2955831932691
validation,G01,6151,1948,0.3166964721183547,0.39234642497482375,0.31170561930900265,229.15469596236278,487.75221619961917
validation,G02,6150,919,0.1494308943089431,0.1850956696878147,0.14863142241338706,487.75289000895776,529.7908206342724
validation,G03,6150,625,0.1016260162601626,0.12588116817724068,0.09641837430471936,529.8129368350196,560.2820831154227
validation,G04,6150,428,0.06959349593495935,0.08620342396777442,0.06824479812471727,560.2892552481987,584.7529085269972
validation,G05,6150,310,0.05040650406504065,0.06243705941591138,0.05041361509020534,584.7537634218249,606.6545380638511
validation,G06,6150,262,0.04260162601626016,0.05276938569989929,0.0381077101699874,606.659982259077,627.3247676544511
validation,G07,6150,189,0.03073170731707317,0.038066465256797584,0.028817830663652823,627.3280862099251,648.5087492422425
validation,G08,6150,138,0.0224390243902439,0.027794561933534745,0.021506961183202875,648.5104404542768,671.0461283063073
validation,G09,6150,98,0.015934959349593495,0.01973816717019134,0.015354490827618346,671.0478959793631,699.732855511975
validation,G10,6151,48,0.007803609169240774,0.009667673716012085,0.008932249885164978,699.7331653468607,852.5786757803329
