split,strategy_action,rows,population_pct,bad_count,good_count,bad_rate,bad_capture,good_capture,avg_pd,avg_score,min_score,max_score
development,approve,148066,0.802495298281366,2967,145099,0.02003836127132495,0.19919436052366565,0.8554760276395538,0.04053562537946969,630.8448699837109,529.7972871816261,859.4903249399662
development,decline,19093,0.10348116873614552,9341,9752,0.48923689310218405,0.6271231957032561,0.057495931891611445,0.33066815299298824,437.74198194728723,239.21170071745408,487.75068018965374
development,manual_review,17348,0.09402353298248847,2587,14761,0.1491238183075859,0.1736824437730782,0.08702804046883475,0.14869754712176123,510.481521997238,487.7555964070867,529.7917134616804
final_holdout,approve,49171,0.7995024552047088,2080,47091,0.04230135649061439,0.418932527693857,0.8329235721739746,0.04072646330044424,630.5288799920263,529.7970029755401,845.2955831932691
final_holdout,decline,6185,0.10056583525739,1901,4284,0.30735650767987066,0.38288016112789525,0.07577338733926456,0.31170333992872673,443.80266748304524,219.51353958040954,487.7470148661848
final_holdout,manual_review,6146,0.0999317095379012,984,5162,0.16010413276928084,0.19818731117824773,0.09130304048676088,0.14822370558521933,510.73168514926743,487.75734790071067,529.7852587007435
validation,approve,49201,0.7999902442197002,2098,47103,0.04264140972744456,0.42255790533736154,0.8331358225586784,0.0409738525290723,630.0021374609396,529.8129368350196,852.5786757803329
validation,decline,6151,0.10001300770706643,1948,4203,0.3166964721183547,0.39234642497482375,0.07434069724251376,0.31170561930900265,443.7803997730903,229.15469596236278,487.75221619961917
validation,manual_review,6150,0.09999674807323339,919,5231,0.1494308943089431,0.1850956696878147,0.09252348019880786,0.14863142241338706,510.5170802887099,487.75289000895776,529.7908206342724
