split,score_band,risk_rank,rows,bad_count,bad_rate,lift,bad_capture,cumulative_bad_capture,min_score,max_score
development,1,top_0_10pct,18451,9205,0.4988889491084494,6.1798256685567425,0.617992614971467,0.617992614971467,0.19595700836655863,0.8814105062232904
development,2,top_10_20pct,18451,2769,0.15007316676602894,1.8589828654246192,0.18590130916414904,0.803893924135616,0.11562750969020957,0.1959553207311488
development,3,top_20_30pct,18451,1348,0.07305837082000975,0.9049869637386734,0.09050016784155757,0.8943940919771736,0.07861682830199042,0.11562634838332926
development,4,top_30_40pct,18450,684,0.037073170731707315,0.45923192428298903,0.045921450151057405,0.940315542128231,0.05690342926130788,0.07861676953692569
development,5,top_40_50pct,18451,416,0.022546203457807164,0.2792838107680179,0.027928835179590467,0.9682443773078214,0.04255030104687659,0.05690338046817851
development,6,top_50_60pct,18451,252,0.013657796325402417,0.16918153921524162,0.016918429003021148,0.9851628063108425,0.032368415339571605,0.04255025805538167
development,7,top_60_70pct,18450,124,0.006720867208672087,0.08325257106884597,0.00832494125545485,0.9934877475662974,0.024575206182028013,0.03236770461086496
development,8,top_70_80pct,18451,60,0.0032518562679529563,0.04028131886077181,0.004028197381671702,0.9975159449479691,0.018175498219354432,0.024574910175307826
development,9,top_80_90pct,18451,29,0.0015717305295105957,0.01946930411603971,0.0019469620678079893,0.9994629070157771,0.01231864048004426,0.018174870573494158
development,10,top_90_100pct,18450,8,0.00043360433604336043,0.005371133617344901,0.0005370929842228936,1.0,0.0013680061576568513,0.01231836282038102
validation,1,top_0_10pct,6151,1948,0.3166964721183547,3.922953963388329,0.39234642497482375,0.39234642497482375,0.19159992933099676,0.8952264421495119
validation,2,top_10_20pct,6150,919,0.1494308943089431,1.851016890591867,0.1850956696878147,0.5774420946626385,0.1168683310997041,0.19159848251627654
validation,3,top_20_30pct,6150,625,0.1016260162601626,1.2588526187376676,0.12588116817724068,0.7033232628398791,0.07979577789918967,0.11683669104209132
validation,4,top_30_40pct,6150,428,0.06959349593495935,0.8620622733115549,0.08620342396777442,0.7895266868076536,0.05817505856872308,0.07978847744689337
validation,5,top_40_50pct,6150,310,0.05040650406504065,0.6243908988938832,0.06243705941591138,0.851963746223565,0.04360564330187556,0.058174409227628676
validation,6,top_50_60pct,6151,262,0.042594700048772555,0.5276252250553091,0.05276938569989929,0.9047331319234643,0.033099417634579055,0.04360249588774343
validation,7,top_60_70pct,6150,189,0.03073170731707317,0.3806770319062707,0.038066465256797584,0.9427995971802619,0.024886466331365292,0.033097021676684824
validation,8,top_70_80pct,6150,138,0.0224390243902439,0.27795465821727705,0.027794561933534745,0.9705941591137965,0.018330915772504317,0.024885138403468537
validation,9,top_80_90pct,6150,98,0.015934959349593495,0.19738809061806628,0.01973816717019134,0.9903323262839879,0.012390864738488425,0.018330802906852156
validation,10,top_90_100pct,6150,48,0.007804878048780488,0.09667988111905289,0.009667673716012085,1.0,0.0015053607504154464,0.012389722437261939
final_holdout,1,top_0_10pct,6151,1892,0.3075922614209072,3.8101791061245986,0.381067472306143,0.381067472306143,0.19223641374831302,0.9071169385092012
final_holdout,2,top_10_20pct,6150,988,0.16065040650406504,1.9899942197005052,0.19899295065458208,0.5800604229607251,0.11707278842595033,0.1922361520527262
final_holdout,3,top_20_30pct,6150,654,0.10634146341463414,1.3172633802470954,0.13172205438066464,0.7117824773413898,0.07987142456538908,0.11707227033150742
final_holdout,4,top_30_40pct,6150,438,0.07121951219512195,0.8822039152113574,0.08821752265861027,0.8,0.05756391530512085,0.07986297637468513
final_holdout,5,top_40_50pct,6150,342,0.055609756097560976,0.6888441529732519,0.0688821752265861,0.8688821752265861,0.04324497837827237,0.05756231398420489
final_holdout,6,top_50_60pct,6151,232,0.037717444317997076,0.4672101229497394,0.04672708962739174,0.9156092648539779,0.03265829686288641,0.043242390837008086
final_holdout,7,top_60_70pct,6150,147,0.023902439024390244,0.2960821359270995,0.029607250755287008,0.9452165156092649,0.024786396567650464,0.03265678149551129
final_holdout,8,top_70_80pct,6150,141,0.022926829268292682,0.2839971507872178,0.0283987915407855,0.9736153071500504,0.01829983846372723,0.024784919872075546
final_holdout,9,top_80_90pct,6150,91,0.014796747967479675,0.18328894128820442,0.018328298086606243,0.9919436052366566,0.012336168769228419,0.018299393989622038
final_holdout,10,top_90_100pct,6150,40,0.0065040650406504065,0.08056656759921074,0.008056394763343404,1.0,0.0016650210380491956,0.012336114526348651
