split,decline_pct_target_from_validation,actual_decline_pct,bad_loss_to_good_profit,net_value_vs_approve_all_units,net_value_per_10000_applications,break_even_bad_loss_to_good_profit,decline_bad_rate,approve_bad_rate,decline_bad_capture,good_rejected_capture,bad_rejected_count,good_rejected_count
development,0.03,0.035890237226771884,1.0,3366.0,182.43210284704645,0.32599118942731276,0.7541528239202658,0.055659555330691175,0.33528029540114135,0.009598377473291984,4994,1628
development,0.07,0.07550391042074285,2.0,10174.0,551.415393453907,0.7337896701929061,0.5767712296317565,0.0402166776099803,0.5394427660288688,0.03476169138976016,8035,5896
development,0.1,0.10348116873614552,3.0,18271.0,990.2605321207325,1.0439995717803232,0.48923689310218405,0.033576359921167497,0.6271231957032561,0.057495931891611445,9341,9752
development,0.12,0.1223801806977513,5.0,37822.0,2049.8951259301816,1.2429720870169862,0.445837023914969,0.02981590469779592,0.6758643840214837,0.07377426125509988,10067,12513
development,0.2,0.197504701718634,8.0,70911.0,3843.2688190691947,2.055080482897384,0.32732361900057627,0.02003836127132495,0.8008056394763343,0.1445239723604462,11928,24513
development,0.2,0.197504701718634,10.0,94767.0,5136.227893792648,2.055080482897384,0.32732361900057627,0.02003836127132495,0.8008056394763343,0.1445239723604462,11928,24513
final_holdout,0.01,0.010146011511820754,1.0,52.0,8.455009593183961,0.8461538461538461,0.5416666666666666,0.07600446795229804,0.06807653575025176,0.005058634168774431,338,286
final_holdout,0.03,0.029251081265649896,2.0,529.0,86.01346297681376,1.318298969072165,0.4313507504168983,0.07016397835954642,0.15629405840886204,0.01809434529600085,776,1023
final_holdout,0.05,0.050030893304282786,3.0,1675.0,272.3488667035218,1.59006734006734,0.38609034774130646,0.06464698331193838,0.23927492447129908,0.03341174805879336,1188,1889
final_holdout,0.12,0.11939449123605736,5.0,5407.0,879.1584013528015,2.4555294117647057,0.2893912569794362,0.052438191251684856,0.42799597180261834,0.09229354228204538,2125,5218
final_holdout,0.25,0.25013820688758087,8.0,13767.0,2238.4637897954535,3.749614078419265,0.21054342173686946,0.037425733986729694,0.6523665659617321,0.2148150768523268,3239,12145
final_holdout,0.3,0.3003642157978602,10.0,20412.0,3318.9164580013658,4.225742574257426,0.19136036377415688,0.03323340072974041,0.7119838872104733,0.26421635389214143,3535,14938
validation,0.01,0.010015934441156385,1.0,50.0,8.129816916523039,0.8498498498498499,0.5405844155844156,0.07607660217455572,0.06706948640483383,0.005005571572598475,333,283
validation,0.03,0.030015284055803063,2.0,602.0,97.8829956749374,1.2622549019607843,0.4420368364030336,0.06954874614456216,0.16435045317220545,0.01821815802041141,816,1030
validation,0.07,0.07001398328509642,3.0,1838.0,298.85206985138694,1.8033854166666667,0.35671156525777986,0.059951744877264145,0.3093655589123867,0.048994463802465645,1536,2770
validation,0.12,0.12001235732171311,5.0,5603.0,911.0272836655718,2.4108133086876156,0.2931852052567403,0.05175440217290885,0.4358509566968781,0.09227585474998673,2164,5217
validation,0.2,0.20000975578029984,8.0,13502.0,2195.3757601378816,3.290547610742937,0.23307048207462808,0.04264140972744456,0.5774420946626385,0.16686417744132162,2867,9434
validation,0.3,0.3000065038535332,10.0,19961.0,3245.585509414328,4.283791523482245,0.18925803479486206,0.034215233095630765,0.7033232628398791,0.26458779206537314,3492,14959
